Genotype,ID,Area,NormalizedArea
AMES13721,cq0005.00,4944,0.035601642
AMES13721,cq0005.00,4975,0.035824872
AMES13721,cq0005.00,5014,0.03610571
AMES13721,cq0005.00,5025,0.036184921
AMES13721,cq0005.00,5049,0.036357745
AMES13721,cq0005.00,5094,0.036681789
AMES13721,cq0005.00,5180,0.037301073
AMES13721,cq0005.00,5187,0.03735148
AMES13721,cq0005.00,5188,0.037358681
AMES13721,cq0005.00,5210,0.037517102
AMES13721,cq0005.00,5266,0.037920357
AMES13721,cq0005.00,5286,0.038064377
AMES13721,cq0005.00,5337,0.038431627
AMES13721,cq0005.00,5357,0.038575646
AMES13721,cq0005.00,5375,0.038705264
AMES13721,cq0005.00,5489,0.039526176
AMES13721,cq0005.00,5538,0.039879024
AMES13721,cq0005.00,5539,0.039886225
AMES13721,cq0005.00,5547,0.039943832
AMES13721,cq0005.00,5558,0.040023043
AMES13721,cq0005.00,5626,0.04051271
AMES13721,cq0005.00,5711,0.041124793
AMES13721,cq0005.00,5717,0.041167999
AMES13721,cq0005.00,5717,0.041167999
AMES13721,cq0005.00,5723,0.041211205
AMES13721,cq0005.00,5795,0.041729675
